[22:17:42] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[22:17:44] [ServerMain/INFO]: Loaded 7 recipes
[22:17:44] [ServerMain/INFO]: Loaded 1179 advancements
[22:17:45] [Server thread/INFO]: Starting minecraft server version 1.19.4
[22:17:45] [Server thread/INFO]: Loading properties
[22:17:45] [Server thread/INFO]: Default game type: SURVIVAL
[22:17:45] [Server thread/INFO]: Generating keypair
[22:17:46] [Server thread/INFO]: Starting Minecraft server on *:25565
[22:17:46] [Server thread/INFO]: Using epoll channel type
[22:17:46] [Server thread/INFO]: Preparing level "world"
[22:18:49] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:52] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:52] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:54] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:54] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:55] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:55] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:18:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:19:00] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:19:00] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:19:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:19:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:19:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:19:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:19:03] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:19:03] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:19:04] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:19:04] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:19:06] [Worker-Main-1/INFO]: Preparing spawn area: 1%
[22:19:06] [Worker-Main-1/INFO]: Preparing spawn area: 1%
[22:19:07] [Worker-Main-1/INFO]: Preparing spawn area: 8%
[22:19:07] [Worker-Main-1/INFO]: Preparing spawn area: 8%
[22:19:08] [Worker-Main-1/INFO]: Preparing spawn area: 15%
[22:19:08] [Worker-Main-1/INFO]: Preparing spawn area: 15%
[22:19:09] [Worker-Main-1/INFO]: Preparing spawn area: 31%
[22:19:09] [Worker-Main-1/INFO]: Preparing spawn area: 31%
[22:19:09] [Worker-Main-1/INFO]: Preparing spawn area: 31%
[22:19:09] [Worker-Main-1/INFO]: Preparing spawn area: 42%
[22:19:11] [Worker-Main-1/INFO]: Preparing spawn area: 51%
[22:19:11] [Worker-Main-1/INFO]: Preparing spawn area: 51%
[22:19:11] [Worker-Main-1/INFO]: Preparing spawn area: 51%
[22:19:14] [Worker-Main-1/INFO]: Preparing spawn area: 68%
[22:19:14] [Worker-Main-1/INFO]: Preparing spawn area: 68%
[22:19:14] [Worker-Main-1/INFO]: Preparing spawn area: 68%
[22:19:14] [Worker-Main-1/INFO]: Preparing spawn area: 68%
[22:19:14] [Worker-Main-1/INFO]: Preparing spawn area: 68%
[22:19:14] [Worker-Main-1/INFO]: Preparing spawn area: 68%
[22:19:17] [Server thread/INFO]: Time elapsed: 77143 ms
[22:19:17] [Server thread/INFO]: Done (90.838s)! For help, type "help"
